rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__C,param_rgr__epsilon,param_rgr__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
28,0.02949061393737793,0.000708149731836589,0.007387685775756836,0.0003595268187819439,10.0,0.001,squared_epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.1060437157148035,-0.9066563318685582,-0.40374759059577303,-0.7012821113064294,-0.8672601014146478,-0.7969979701800425,0.2350652602534283
29,0.029512739181518553,0.0006619297688560094,0.007444953918457032,0.00037940328704826943,100.0,0.001,squared_epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.114340085815063,-0.9107452915060905,-0.4068460860885169,-0.702147417916917,-0.8665652416158053,-0.8001288245884787,0.23649532147496363
30,0.029158878326416015,0.0010106624975195645,0.007784557342529297,0.0005228620959582254,100.0,0.001,epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'epsilon_insensitive'}",-1.1142808217015825,-0.910451988766074,-0.40811795086107927,-0.7027659771426392,-0.8657781388922722,-0.8002789754727295,0.2359340784073836
31,0.0296231746673584,0.0008261250706328759,0.007852983474731446,0.001063246694474087,10.0,0.001,epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'epsilon_insensitive'}",-1.115846400597908,-0.9110268818853914,-0.40738706284993964,-0.7024029503122192,-0.8656605566828155,-0.8004647704656549,0.23667118474506854
32,0.029593372344970705,0.0008610101039860827,0.0073032379150390625,0.00022313625260471007,100.0,0.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.1145888373155268,-0.9108411307877323,-0.40717456995208806,-0.7023162037854591,-0.8674992500001337,-0.8004839983681882,0.23649981515913604
33,0.030230903625488283,0.0007100863829315783,0.007422256469726563,0.00023007782749964238,1.0,0.001,epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'epsilon_insensitive'}",-1.1167677790321757,-0.9103061471110284,-0.407533415096317,-0.7025549777049782,-0.8658238029515279,-0.8005972243792054,0.23679772558438994
34,0.029502487182617186,0.0005226743142422027,0.007457447052001953,0.0003654391256820281,1.0,0.0001,epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'epsilon_insensitive'}",-1.1147585083403622,-0.911373079092351,-0.40692462753733616,-0.7027829546980654,-0.8675577862982494,-0.8006793911932728,0.2366423589641608
35,0.030566978454589843,0.0006444237716346998,0.0076274871826171875,0.00046368158679694737,100.0,0.0,epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-1.116015928397041,-0.9115874449133355,-0.40789273907517903,-0.7027753577112527,-0.8665350992170238,-0.8009613138627664,0.23661819828879452
36,0.03014349937438965,0.0008225789822907276,0.007587146759033203,0.00033721468699089604,10.0,0.0,epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-1.1158666612743755,-0.9113449061097746,-0.4076490150492982,-0.7027140194155242,-0.8672533432364431,-0.8009655890170831,0.2366819146436895
37,0.0291079044342041,0.0005224822612183838,0.007714748382568359,0.000616041074106338,1.0,0.0,epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-1.117584732494942,-0.9116799640376155,-0.40782096658016576,-0.7026036470308079,-0.8659849212485607,-0.8011348462784185,0.2370529438580936
