rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__subsample,param_rgr__n_estimators,param_rgr__min_child_weight,param_rgr__max_depth,param_rgr__learning_rate,param_rgr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
11,0.49784674644470217,0.0073975028791705135,0.0243990421295166,0.0010308588447109303,0.6,600,1.0,5,0.1,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 1, 'rgr__max_depth': 5, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.17983466219944505,-0.2637380616399384,-0.20147553853696867,-0.424433932145812,-0.3826902813580387,-0.2904344951760406,0.09728894878308113
12,0.9397511959075928,0.013566089854858483,0.028722476959228516,0.0006311925973856757,0.6,600,1.0,6,0.01,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 1, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1}",-0.1741221311290221,-0.2896464700044941,-0.2041151470934012,-0.4025432451083266,-0.38518040602946807,-0.29112147987294246,0.09222040616072517
13,0.6879350662231445,0.00986739085634494,0.028549861907958985,0.0011004726973504395,0.7,900,0.0,10,0.1,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 0, 'rgr__max_depth': 10, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.18315440094265031,-0.28792332652178004,-0.21568433310863333,-0.3988829731732421,-0.370489168191494,-0.29122684038755997,0.08398761255410046
14,0.3163895130157471,0.006497123860556782,0.021100282669067383,0.0037414584764633176,0.7,300,0.1,7,0.1,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 300, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 7, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.18703697620877105,-0.28526556809464226,-0.2113382781764167,-0.40117052686822546,-0.3721719921998,-0.2913966683095711,0.08475002599215942
15,0.8639219284057618,0.008345209483618549,0.02912302017211914,0.002494385794809794,0.5,600,1.0,4,0.01,1.0,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 1, 'rgr__max_depth': 4, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1}",-0.17695318543491204,-0.2785643250995694,-0.2046477553671718,-0.4076523651915504,-0.3899175900037239,-0.29154704421938554,0.09381790842460559
16,0.6880835056304931,0.012356426992209745,0.03069338798522949,0.003618896424392372,0.7,900,1.0,4,0.1,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 1, 'rgr__max_depth': 4, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.1895369463920469,-0.2821756835745749,-0.20998655216025355,-0.40885096971410184,-0.3678474797596442,-0.2916795263201243,0.08570633111570472
17,0.9407094478607178,0.009916090051032401,0.02882213592529297,0.0027313133915864737,0.7,600,0.0,6,0.01,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 0, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1}",-0.18161609048791474,-0.28525105203125245,-0.20499429202062133,-0.4005196512061856,-0.38636493836773594,-0.291749204822742,0.08997898732349026
18,0.7460840225219727,0.0064723055403474936,0.03135814666748047,0.0010021186800633932,0.7,1000,0.0,8,0.1,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 0, 'rgr__max_depth': 8, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.18569226107502348,-0.2864602706321205,-0.2145598294516868,-0.3984615350214439,-0.37382769749131,-0.2918003187343169,0.08409356113778782
19,0.32657995223999026,0.004461337181928486,0.020409440994262694,0.0026926155754489695,0.7,300,0.1,10,0.1,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 300, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 10, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.18387037638412806,-0.28526556809464226,-0.21757093421080292,-0.40117052686822546,-0.3721719921998,-0.2920098795515197,0.08440711544958007
20,0.24353890419006347,0.0060302755787874345,0.017774343490600586,0.002735471734191516,0.6,100,0.1,6,0.05,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 100, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.18389284991845115,-0.2824165653222233,-0.2010367601172572,-0.40498848227507794,-0.3877193145535959,-0.29201079443732114,0.09163175525087315
