Title,model_score,raw_score,time_est,release_date,genre_metacritic,developer_metacritic
Super Mario RPG,1193.72875961496,1193.72875961496,13.535277777777777,3/9/1996,JRPG,ArtePiazza
Fable - The Lost Chapters,1193.6101331094926,1193.6101331094926,20.99972222222222,9/20/2005,Action RPG,Lionhead Studios
Sonic Mania,1193.4760505870352,1193.4760505870352,7.435555555555555,,2D Platformer,Sega
Age of Wonders 4,1193.0646583491296,1193.0646583491296,52.33861111111111,5/2/2023,4X Strategy,Triumph Studios
LIBLADE,1192.327186744047,1192.327186744047,3.7822222222222224,,2D Platformer,Eh
Lucy Dreaming,1192.13892320215,1192.13892320215,8.972222222222221,10/18/2022,Point-and-Click,Tall Story Games
A Magical High School Girl,1192.1226032702332,1192.1226032702332,12.416666666666666,11/22/2016,Roguelike,illuCalab
Potionomics,1191.7553179995882,1191.7553179995882,29.565833333333334,10/17/2022,Tycoon,Voracious Games
INSIDE,1191.687004262559,1191.687004262559,0.0,6/29/2016,2D Platformer,PLAYDEAD
Prey,1191.6179013916728,1191.6179013916728,26.989166666666666,5/4/2017,Action RPG,Arkane Studios
Beyond Good And Evil,1191.0559991159241,1191.0559991159241,0.0,11/11/2003,Action Adventure,Ubisoft Montpellier
Sea of Stars,1190.4361168421244,1190.4361168421244,35.507777777777775,11/17/2011,JRPG,Sabotage Studio
Stephen's Sausage Roll,1190.036854534019,1190.036854534019,30.086111111111112,4/18/2016,Action Puzzle,increpare
GRIS,1189.8475052815536,1189.8475052815536,4.099722222222222,12/13/2018,2D Platformer,Nomada Studio
Super Buff HD,1189.4536466923032,1189.4536466923032,2.3,9/29/2023,FPS,Buffcorp
Jusant,1189.1033977118657,1189.1033977118657,5.474166666666667,10/31/2023,Action Adventure,DONTNOD Entertainment
The Red Strings Club,1186.9598292153303,1186.9598292153303,4.302777777777778,1/22/2018,Visual Novel,Deconstructeam
Crypt of the NecroDancer,1186.445276825052,1186.445276825052,22.12611111111111,4/23/2015,Rhythm,Brace Yourself Games
Darkest Dungeon,1186.2702898684418,1186.2702898684418,80.32111111111111,6/19/2018,RPG,Red Hook Studios
Moss,1186.2494680049322,1186.2494680049322,4.404444444444445,2/27/2018,Action Adventure,Polyarc
Fate/Samurai Remnant,1186.2098070332574,1186.2098070332574,41.274166666666666,9/29/2023,Action RPG,Omega Force
The Last Campfire,1186.0961403087738,1186.0961403087738,6.1258333333333335,8/27/2020,Action Puzzle,Hello Games
Metal Gear Rising: Revengeance,1185.9246118018543,1185.9246118018543,8.929722222222223,2/19/2013,Action Adventure,PlatinumGames
Marvel's Midnight Suns,1184.7852248485572,1184.7852248485572,64.25527777777778,12/2/2022,Turn-Based Tactics,Firaxis Games
SteamWorld Heist,1184.6429390083554,1184.6429390083554,15.529722222222222,12/9/2015,Turn-Based Strategy,Image & Form
The Legend of Heroes: Trails in the Sky,1184.3621361058777,1184.3621361058777,50.63611111111111,6/24/2004,JRPG,Falcom
Wolfenstein: The New Order,1183.8599376239,1183.8599376239,13.569444444444445,5/20/2014,FPS,MachineGames
Donkey Kong Country 2: Diddy's Kong Quest,1182.233506098714,1238.036517763596,6.474444444444444,11/21/1995,2D Platformer,Rare Ltd.
Catherine,1181.2380435098842,1181.2380435098842,14.858611111111111,2/17/2011,Survival,Atlus
Monster Sanctuary,1181.1000854406977,1181.1000854406977,37.761944444444445,12/7/2020,Action Adventure,Moi Rai Games
Trombone Champ,1181.0905928834256,1181.0905928834256,4.818888888888889,9/15/2022,Rhythm,Holy Wow
Jade Empire,1180.4519949604833,1180.4519949604833,21.642777777777777,4/12/2005,Action RPG,BioWare
Final Fantasy,1180.2669769468314,1180.2669769468314,17.522777777777776,2/29/2004,Compilation,Square Enix
Final Fantasy V,1180.1194153080944,1180.1194153080944,36.58777777777778,11/10/2021,JRPG,TOSE
Danganronpa,1179.4865244564428,1179.4865244564428,7.5,11/25/2010,Visual Novel,Spike Chunsoft
Unpacking,1179.3915284134173,1179.3915284134173,4.079722222222222,9/15/2018,Puzzle,Witch Beam
Symphony of War: The Nephilim Saga,1179.071335065442,1179.071335065442,38.94305555555555,6/10/2022,RPG,Dancing Dragon games
One Dreamer,1177.869607433433,1177.869607433433,7.448611111111111,9/9/2022,Adventure,F2House
Mount & Blade: Warband,1177.254271381966,1177.254271381966,120.07972222222222,3/31/2010,Western RPG,Taleworlds Entertainment
Kunitsu-Gami: Path of the Goddess,1177.1456552287548,1177.1456552287548,19.911666666666665,7/19/2024,Action Adventure,Capcom
Donkey Kong Country: Tropical Freeze,1176.7843837369212,1210.790905954632,14.729166666666666,5/4/2018,2D Platformer,Retro Studios
Octopath Traveler,1176.74241094463,1176.74241094463,77.10416666666667,7/13/2018,JRPG,Acquire
Tactics Ogre: The Knight of Lodis,1176.7062975052015,1176.7062975052015,37.56361111111111,6/21/2001,Turn-Based Tactics,Quest
The Messenger,1175.340140615866,1175.340140615866,14.365833333333333,12/31/2000,Metroidvania,Sabotage Studio
CTRL ALT EGO,1175.0587995656667,1175.0587995656667,18.538055555555555,7/22/2022,Action Adventure,MindThunk
Tales of Berseria,1174.4163581851858,1174.4163581851858,60.72888888888889,8/18/2016,Action RPG,Bandai Namco Games
Axiom Verge,1173.791682099951,1173.791682099951,12.579722222222221,,Metroidvania,Tom Happ
IMMORTALITY,1173.3157769187758,1173.3157769187758,18.218333333333334,8/30/2022,Adventure,Sam Barlow
Fell Seal: Arbiter's Mark,1172.3963825903372,1172.3963825903372,52.61888888888889,4/30/2019,Turn-Based Tactics,6 Eyes Studio
Baldr Sky,1171.3950519720272,1171.3950519720272,107.47638888888889,12/20/2019,Visual Novel,Giga
Rabi-Ribi,1171.030749197045,1171.030749197045,18.046944444444446,,2D Platformer,CreSpirit
