Title,My Rating,raw_score,release_date,genre_metacritic,developer_metacritic
Banjo-Tooie,3.5,3.118422389918469,2009-04-29,3D Platformer,4J Studios
Fallout 4,3.0,3.1154358020772412,2015-11-09,Western RPG,Bethesda Game Studios
Mario Party 2,3.0,3.1117279794032213,1999-12-17,Party,Hudson
Pokemon X,3.0,3.1098856617988755,2013-10-12,Trainer RPG,Game Freak
Sonic Adventure 2: Battle,3.5,3.107055338195996,2012-10-02,3D Platformer,Sonic Team
Harvest Moon: A Wonderful Life,3.0,3.1070287690561407,2003-09-12,Tycoon,TOSE
Mario Golf: Toadstool Tour,3.0,3.1004070989502392,2003-08-29,Golf,Camelot Software Planning
Tokyo Jungle,3.0,3.088099314111139,2012-06-07,Survival,Crispy's
Hyperdimension Neptunia Re;Birth1,3.0,3.0661214580367795,2013-10-31,JRPG,Felistella
Need for Speed: Most Wanted,3.0,3.0571143767749764,2005-12-31,Auto Racing,EA Canada
Donkey Konga,3.0,3.025635722807077,2004-10-15,Rhythm,Namco
Shotgun King: The Final Checkmate,3.0,3.0254374803159,2022-04-22,Turn-Based Strategy,PUNKCAKE Delicieux
Hyperdimension Neptunia Re;Birth3: V Generation,3.0,3.0127133085635416,2014-12-18,JRPG,Felistella
Animal Crossing: New Horizons,3.0,2.9932229228598763,2020-03-19,Virtual Life,Nintendo
Super Mega Baseball 3,3.0,2.991887678462437,2020-05-12,Baseball,Metalhead Software
Call of Duty: Black Ops,3.0,2.9767537299186473,2015-11-06,Tactical FPS,Treyarch
Project Gotham Racing 4,3.0,2.9574648980400284,2007-10-02,Auto Racing Sim,Bizarre Creations
NCAA Football 11,3.0,2.941351694186422,2010-07-13,Football Sim,EA Tiburon
Dragon Ball Xenoverse 2,3.0,2.9318418004538267,2016-10-25,3D Fighting,Dimps Corporation
Kirby Air Ride,3.0,2.92697107523783,2003-07-11,Arcade Racing,HAL Labs
Pokemon Sun,2.5,2.9250619252524364,2016-11-18,Trainer RPG,Game Freak
Top Spin 2,3.0,2.922257866325047,2006-12-01,Tennis,Pam Development
Mario Party 3,3.0,2.912199193642139,2000-12-07,Party,Hudson
Viva Pinata,3.0,2.89700894601182,2006-11-09,Virtual Life,Rare Ltd.
NFL Street,3.0,2.8963295785518395,2004-01-13,Football,EA Tiburon
Mario Party,2.5,2.885167163871228,1999-02-08,Party,Hudson
Code Vein,2.0,2.8797586527139196,2020-02-26,Action RPG,Shift
Pokemon Colosseum,3.0,2.878518329330063,2003-11-21,Trainer RPG,Genius Sonority Inc.
Donkey Kong 64,2.0,2.8651618320719323,1999-11-22,3D Platformer,Rare Ltd.
Fire Emblem Fates: Revelation,1.5,2.8585899653036435,2015-07-09,Turn-Based Tactics,Intelligent Systems
Project Gotham Racing,3.0,2.8566729376008904,2001-11-15,Auto Racing Sim,Bizarre Creations
Far Cry 2,3.0,2.8503306732128304,2008-10-21,FPS,Ubisoft Montreal
Assassin's Creed,3.0,2.8309299592590564,2007-11-13,Open-World Action,Ubisoft Montreal
Thomas Was Alone,3.0,2.8267697254595037,2012-07-24,2D Platformer,Mike Bithell
Fire Emblem: Shadow Dragon,2.5,2.809965817670447,2008-08-07,Turn-Based Tactics,Intelligent Systems
Tomb Raider: Legend,2.5,2.8076881789246904,2006-04-07,Linear Action Adventure,Crystal Dynamics
Grid,2.5,2.7977372980183666,2019-10-10,Auto Racing Sim,Codemasters
Hyperdimension Neptunia Re;Birth2: Sisters Generation,3.0,2.7905886978629515,2014-03-20,JRPG,Felistella
Madden NFL 08,2.0,2.7899523028847075,2007-08-14,Football Sim,EA Tiburon
SoulCalibur IV,2.5,2.781827010774205,2008-07-29,3D Fighting,Project Soul
Major League Baseball 2K7,2.0,2.7420570709374177,2007-02-26,Baseball Sim,Kush Games
The Lord of the Rings: War of the Ring,3.0,2.722688549566454,2003-11-08,Real-Time Strategy,Liquid Entertainment
Hearthstone,2.5,2.6996984213001576,2014-03-11,Card Battle,Blizzard Entertainment
Batman: Arkham Origins,2.5,2.693399931650679,2013-10-16,Open-World Action,WB Games Montreal
Dragon Ball Xenoverse,3.0,2.6657326148351754,2015-02-05,3D Fighting,Dimps Corporation
Assassin's Creed III,2.0,2.649439793413887,2012-10-30,Open-World Action,Ubisoft
