rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__C,param_rgr__epsilon,param_rgr__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
107,0.06784725189208984,0.0016785454731621712,0.022701835632324217,0.003349817997331442,,0.01,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-70831.46984346074,-54219.92484938521,-66716.3229520701,-44759.25312123977,-45400.26810886464,-56385.4477750041,10732.628750612945
108,0.06738419532775879,0.0007966473378292662,0.021825838088989257,0.0020612999776998295,,0.01,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-70834.71741982315,-54228.14577111225,-66732.81650831657,-44766.297670165455,-45414.40269458349,-56395.27601280018,10731.9278906627
109,0.06761274337768555,0.0013804711666874133,0.02215123176574707,0.0011915905657022387,,0.01,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-70936.70003522135,-54310.62225606581,-66834.66557099382,-44830.16948706399,-45508.73936993409,-56484.17934385581,10742.518310431355
110,0.0740701675415039,0.002806850780152856,0.02124795913696289,0.0007036368093454912,,10.0,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-54974.34123555746,-65466.40666914803,-61276.251920927076,-55151.65937897625,-47425.85344467587,-56858.90252985693,6148.996156159754
111,0.07202486991882324,0.00279938501631268,0.02165813446044922,0.000347224305888543,,10.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-54989.57031654859,-64357.50541269775,-61840.228734873366,-55419.52642806526,-48250.21053799986,-56971.40828603697,5668.423987780892
112,0.07173366546630859,0.001619803581887749,0.02248091697692871,0.0025271740464716114,,10.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-54988.178511051,-64909.23346776031,-61397.12587834385,-55334.806802057545,-48886.10689504664,-57103.09031085187,5558.652847319459
113,0.07403550148010254,0.002381495033138304,0.019846439361572266,0.0005076756260297058,4,10.0,1.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-70697.97186901726,-50686.39312845439,-67466.04244077185,-57097.78282882293,-50261.03845950216,-59241.84574531372,8453.731860212616
114,0.07426133155822753,0.001967888093233619,0.020497894287109374,0.001342621518340943,4,10.0,0.1,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-70814.7051057388,-50820.5564301996,-67719.24363958536,-57246.694275880654,-50347.84728732154,-59389.809347745184,8481.625249695491
115,0.07303390502929688,0.0025651550793603798,0.020437955856323242,0.0008120843536578144,4,10.0,0.01,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-70875.76019440913,-50835.30764849562,-67744.26019874711,-57259.960290208954,-50357.01834145612,-59414.461334663385,8497.38720978561
116,0.07357921600341796,0.001993221401153701,0.02112922668457031,0.0034970878824718264,4,10.0,0.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-70846.38803118124,-50836.5518942052,-67767.69849334536,-57270.724210680586,-50357.83655784439,-59415.83983745135,8493.104274597465
