rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__C,param_rgr__gamma,param_rgr__shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
38,0.03898615837097168,0.0008258008669319509,0.014200639724731446,0.00039937653816521926,3,100,0.1,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 100, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-48129.80709392123,-46887.71507261673,-57995.20003960839,-92941.86515719241,-93330.6070007244,-67857.03887281263,20996.586686185605
39,0.0443671703338623,0.0062598322515786484,0.014701461791992188,0.0003994955143435826,4,100,0.1,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 100, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-47587.55211864865,-48255.03596188969,-58032.66057632696,-92855.03843546323,-93256.30278359441,-67997.31797518459,20791.985083298463
40,0.03850240707397461,0.0018431195095586256,0.014302921295166016,0.00040106221475183875,5,100,0.1,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 100, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-47716.360766629434,-48637.48843153372,-58139.41807931771,-93825.13932456756,-93132.01937670338,-68290.08519575036,20888.750190393675
41,0.03970270156860352,0.002768488548582762,0.014200735092163085,0.001165807859024304,4,10,0.01,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 10, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-56000.57891140581,-66518.19324525967,-53475.63960992038,-88600.8403693772,-94844.60065148534,-71887.97055748968,16891.32638512122
42,0.03819417953491211,0.000520673382253872,0.013599920272827148,0.0004890461375261687,5,10,0.01,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 10, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-56021.767834053615,-66534.11334150213,-53466.141151382006,-88616.72314238403,-94803.95703295876,-71888.5405004561,16880.506936608283
43,0.03849797248840332,0.0007027810616255772,0.014000797271728515,2.11427681707338e-06,3,10,0.01,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 10, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-56081.49158236116,-66526.66420918156,-53425.40574500273,-88693.79066248512,-95158.69986935711,-71977.21041367753,16990.45200196206
44,0.04120392799377441,0.004077913650181086,0.014702606201171874,0.0009834793772803818,2,10,0.01,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 10, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-56143.12948351835,-66546.83306127823,-53437.37359497446,-88775.76620512853,-95226.05911738808,-72025.83229245753,17009.534318419508
45,0.03760967254638672,0.00048085268589575234,0.014820051193237305,0.0007551923362669121,,10,0.01,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 10, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-56178.754539233385,-66483.12893080762,-53417.79194455822,-88843.74831822186,-95224.89905665518,-72029.66455789526,17024.391467591984
46,0.03789877891540527,0.0009165763185195652,0.014600133895874024,0.0013197411061551929,4,10,scale,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 10, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-55684.32581267995,-65794.93144048727,-53239.037030394364,-88644.66330344003,-97253.32691722232,-72123.25690084479,17727.815472397655
47,0.03920760154724121,0.0011764437771623149,0.014005470275878906,0.0005511387838718769,5,10,scale,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 10, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-55710.43949199854,-65809.88568377728,-53228.783204193445,-88650.91600565455,-97284.58553140027,-72136.92198340481,17734.12195718343
