rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__alpha,param_rgr__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
129,0.040413188934326175,0.002039417538154122,0.013000869750976562,0.000633164869615545,4,0.03,0.5,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.5)}",-27125.3526821252,-41135.3111469785,-36278.02668158973,-40428.87681545549,-43772.58574542918,-37748.03061431562,5830.232727811552
130,0.04481654167175293,0.006357960416821767,0.01500530242919922,0.00228673296240077,5,0.06999999999999999,0.6,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.6)}",-25985.984778898095,-39994.66171235625,-37812.5800634958,-41059.596467984535,-44042.7242681857,-37779.10945818407,6228.676380790908
131,0.03950505256652832,0.000552175049126063,0.013001632690429688,2.703292423831628e-06,4,0.06999999999999999,0.8,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.8)}",-27155.877687218086,-41349.109622231445,-36159.14754370747,-40436.48097199877,-43799.47734161713,-37780.01863335458,5857.109862664737
132,0.04060549736022949,0.002640149152754502,0.0144012451171875,0.001356501377799796,5,0.08999999999999998,0.7000000000000001,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-26010.01559304044,-40104.65790673053,-37847.26506475141,-41072.01099722384,-44076.502124252205,-37822.09033719968,6235.631633386617
133,0.041304731369018556,0.0018057505345676402,0.014001226425170899,0.0006342206784177106,2,0.03,0.2,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.2)}",-26965.789696510154,-37975.249893987784,-40409.38281067714,-40437.321598512004,-43388.410475287295,-37835.23089499488,5699.110366587291
134,0.03972945213317871,0.0010337428471395142,0.01350398063659668,0.0006307556508618517,3,0.03,0.6,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.6)}",-27678.92648394187,-41140.10877535858,-37020.8222980072,-40544.44921084032,-42810.67895729791,-37838.997145089175,5419.056649220934
135,0.03930420875549316,0.0007493691937938606,0.013702583312988282,0.0014030688914889353,5,0.03,0.1,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.1)}",-26068.92458719899,-40132.02912697093,-37981.844959071066,-41021.00677604221,-44145.166462065376,-37869.79438226971,6224.166186448619
136,0.03930244445800781,0.0016008470121517998,0.01360464096069336,0.0005855358769555251,2,0.06999999999999999,0.7000000000000001,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-27065.266687362393,-38189.74878679806,-40630.27533368225,-40444.32178229507,-43414.0225938302,-37948.727036793585,5688.513876043574
137,0.038196897506713866,0.00023946691822114512,0.012903118133544922,0.0004930869186136699,5,0.049999999999999996,0.5,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.5)}",-26147.012789339475,-40377.28825438134,-38134.89754364198,-41042.69119045294,-44196.20639434358,-37979.61923443186,6225.943608667212
138,0.038803911209106444,0.0009808544818207681,0.012897348403930664,0.0005840343014864284,3,0.08999999999999998,0.9,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.9)}",-28009.68307544371,-41840.38831938294,-36658.05184904464,-40765.646823927455,-42765.12980821829,-38007.779975203404,5416.840432214723
139,0.04125676155090332,0.0017329973924636722,0.013402128219604492,0.0008020972022913105,3,0.049999999999999996,0.8,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.8)}",-27973.882650467855,-41625.97026573521,-36862.90818743032,-40752.610432214206,-42826.98920331655,-38008.472147832836,5400.740640668147
140,0.0408599853515625,0.0014152269107214359,0.015200185775756835,0.003428601484170106,4,0.03,0.6,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.6)}",-27534.858655290893,-41813.65199926353,-36131.68114020008,-40701.854521061265,-43899.86374041108,-38016.38201124537,5825.131903314209
141,0.04220666885375977,0.002209329109565627,0.014101648330688476,0.0007995824888181603,2,0.03,0.30000000000000004,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-27142.450823793424,-38204.77699324866,-40822.27341933777,-40510.45423870421,-43471.31708799897,-38030.25451261661,5694.324357965529
142,0.03960089683532715,0.0013927179975398547,0.013602161407470703,0.0004906854449345309,2,0.049999999999999996,0.6,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.6)}",-27169.82798960348,-38274.92919935381,-40873.528839364764,-40507.181471283046,-43466.66603653226,-38058.426707227474,5688.210754084762
143,0.04331188201904297,0.003029515720138411,0.01500544548034668,0.001680127716018289,5,0.03,0.2,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.2)}",-26223.8377811819,-40525.1261028625,-38262.63372998877,-41028.36387780171,-44283.16298234406,-38064.62489483579,6224.973540013072
144,0.041381120681762695,0.0016566501887326532,0.014018869400024414,0.0008952902866803067,2,0.08999999999999998,0.8,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.8)}",-27226.341003008125,-38419.40860127693,-40850.732235233234,-40501.321963987706,-43437.87256224017,-38087.13527314924,5659.742270224762
145,0.0551811695098877,0.006328905719193199,0.014702463150024414,0.001399861546803714,,0.01,0.6,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.6)}",-32064.859084962867,-42165.06621017455,-35830.620911623744,-41531.165098542726,-39290.0428635681,-38176.350833774406,3775.1217015008774
146,0.04090094566345215,0.002330274959344005,0.014004135131835937,0.002347531631661164,4,0.049999999999999996,0.8,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.8)}",-27846.76814926701,-42355.94351019251,-35871.296276496054,-40896.138466194534,-44019.852988990235,-38197.99987822807,5848.486448419306
147,0.04041905403137207,0.0005113147192851671,0.012900876998901366,0.00019625347678406171,3,0.03,0.7000000000000001,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-28314.629660673985,-41984.27008792687,-36824.878745976646,-41005.299771685386,-42971.289768632414,-38220.07360697906,5377.082915932392
148,0.04070701599121094,0.0012059996120484062,0.024487400054931642,0.018814974780917235,4,0.08999999999999998,0.9,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.9)}",-27939.08637433052,-42624.9565417624,-35608.683861860496,-40901.773012325924,-44104.67738335542,-38235.83543472695,5894.741379864754
149,0.039804267883300784,0.0016309265330168902,0.013224601745605469,0.0009500354126377773,5,0.06999999999999999,0.7000000000000001,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-26363.505447627485,-40957.77403051912,-38445.676101255376,-41086.71351190925,-44378.8750274946,-38246.50882376116,6233.2828235252655
150,0.041103553771972653,0.001621339244143959,0.012863063812255859,0.00028731528479209893,2,0.03,0.4,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.4)}",-27371.233068979196,-38466.34343034493,-41245.31760772957,-40628.7777977703,-43549.36742087979,-38252.207865140765,5676.410071335661
151,0.04440340995788574,0.0013222477436865073,0.013702201843261718,0.0007480638359085474,3,0.01,0.1,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.1)}",-28421.450054842953,-42041.045028484856,-36778.78346048532,-41097.52280264849,-43082.73102192898,-38284.306473678116,5377.633031545098
152,0.044003868103027345,0.0012255240458788211,0.014270925521850586,0.0011621581867823684,5,0.03,0.30000000000000004,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-26415.89491914129,-40982.82506016996,-38530.34946028817,-41056.228492355745,-44436.9566986634,-38284.45092612371,6224.795400735256
153,0.04191155433654785,0.0039062005156077933,0.014896488189697266,0.002578951332644981,5,0.049999999999999996,0.6,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.6)}",-26463.123775114036,-41139.92065384112,-38593.168845499604,-41086.80577004221,-44448.720465387756,-38346.347901976944,6226.155237009209
154,0.041805601119995116,0.003589118721310114,0.014502954483032227,0.0014101368990170414,4,0.03,0.7000000000000001,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-28136.519541218022,-42659.16390240305,-35801.612798858885,-41138.85362311854,-44118.98466718462,-38371.026906556624,5838.407863690762
155,0.04500102996826172,0.0014539969351537241,0.01350407600402832,0.000446667046885676,4,0.01,0.1,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.1)}",-28203.945432578723,-42665.61125097431,-35784.17916732402,-41236.210602498555,-44160.21369761138,-38410.0320301974,5834.743112265666
156,0.04327502250671387,0.003828783888895329,0.013399648666381835,0.0008569632371021663,3,0.06999999999999999,0.9,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.9)}",-28699.062418071728,-42583.846701571434,-36495.990379566094,-41275.46513351419,-43013.02601611532,-38413.478129767755,5381.178612254489
157,0.04063305854797363,0.0015790556673094208,0.0132171630859375,0.0007424338229877459,5,0.08999999999999998,0.8,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.8)}",-26565.815199014934,-41479.83187138377,-38567.09590338805,-41140.774032784364,-44516.622179110884,-38454.0278371364,6236.529955762809
158,0.04037432670593262,0.001937069834844654,0.01350231170654297,0.00044777615179856275,2,0.049999999999999996,0.7000000000000001,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-27617.55777988749,-38739.39724249529,-41592.46998640705,-40756.92066701813,-43588.16054316101,-38458.90124379379,5639.554120708757
159,0.04630656242370605,0.004431864907295587,0.014401769638061524,0.0018526464251754759,3,0.01,0.2,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.2)}",-28730.9889464763,-42394.096944830024,-36682.17613584733,-41333.00786493925,-43170.65247843426,-38462.18447410544,5361.6383624374375
160,0.040204095840454104,0.0011193313112672514,0.01280074119567871,0.001167537270697497,2,0.06999999999999999,0.8,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.8)}",-27676.754278581408,-38817.456369575564,-41534.09570748554,-40776.740469843004,-43556.245969899435,-38472.25855907699,5607.039964052244
161,0.04125547409057617,0.0013923785620462866,0.013402605056762695,0.0004901581598917184,2,0.03,0.5,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.5)}",-27671.641497050103,-38768.81484995615,-41690.0562089774,-40814.31832893576,-43641.59125395959,-38517.284427775805,5644.335285959253
